iter	Passed	Remaining
400	22688	5601
401	22739	5543
402	22790	5485
403	22835	5426
404	22907	5373
405	22966	5317
406	23018	5259
407	23066	5201
408	23116	5143
409	23166	5085
410	23215	5027
411	23270	4970
412	23321	4912
413	23368	4854
414	23415	4795
415	23461	4737
416	23508	4679
417	23558	4621
418	23617	4565
419	23663	4507
420	23740	4454
421	23786	4396
422	23848	4341
423	23898	4283
424	23947	4226
425	23996	4168
426	24041	4110
427	24089	4052
428	24147	3996
429	24193	3938
430	24238	3880
431	24293	3823
432	24346	3767
433	24392	3709
434	24437	3651
435	24488	3594
436	24539	3537
437	24585	3480
438	24630	3422
439	24688	3366
440	24740	3309
441	24786	3252
442	24836	3195
443	24883	3138
444	24928	3081
445	24984	3024
446	25034	2968
447	25086	2911
448	25133	2854
449	25182	2798
450	25234	2741
451	25285	2685
452	25330	2628
453	25375	2571
454	25438	2515
455	25489	2459
456	25544	2403
457	25591	2346
458	25638	2290
459	25694	2234
460	25755	2178
461	25804	2122
462	25859	2066
463	25910	2010
464	25980	1955
465	26048	1900
466	26100	1844
467	26151	1788
468	26214	1732
469	26263	1676
470	26333	1621
471	26380	1564
472	26428	1508
473	26477	1452
474	26541	1396
475	26615	1341
476	26662	1285
477	26727	1230
478	26783	1174
479	26834	1118
480	26884	1061
481	26931	1005
482	26977	949
483	27031	893
484	27088	837
485	27161	782
486	27214	726
487	27262	670
488	27315	614
489	27367	558
490	27418	502
491	27471	446
492	27522	390
493	27568	334
494	27626	279
495	27676	223
496	27723	167
497	27787	111
498	27836	55
499	27885	0
